iter	Passed	Remaining
665	1687	846
666	1689	843
667	1692	841
668	1693	838
669	1695	835
670	1697	832
671	1699	829
672	1700	826
673	1702	823
674	1703	820
675	1706	817
676	1708	815
677	1711	812
678	1713	809
679	1714	807
680	1716	804
681	1718	801
682	1722	799
683	1724	796
684	1728	794
685	1731	792
686	1733	789
687	1739	788
688	1741	786
689	1743	783
690	1745	780
691	1747	777
692	1749	775
693	1756	774
694	1759	771
695	1760	769
696	1762	766
697	1765	763
698	1770	762
699	1771	759
700	1773	756
701	1775	753
702	1787	755
703	1789	752
704	1790	749
705	1792	746
706	1797	745
707	1800	742
708	1804	740
709	1807	738
710	1816	738
711	1818	735
712	1820	732
713	1822	730
714	1826	728
715	1828	725
716	1832	723
717	1835	720
718	1838	718
719	1844	717
720	1852	716
721	1857	715
722	1859	712
723	1860	709
724	1862	706
725	1866	704
726	1869	701
727	1873	699
728	1874	696
729	1876	694
730	1881	692
731	1884	689
732	1889	688
733	1892	685
734	1894	682
735	1895	680
736	1897	677
737	1899	674
738	1903	672
739	1904	669
740	1906	666
741	1908	663
742	1909	660
743	1911	657
744	1913	654
745	1914	651
746	1918	649
747	1920	646
748	1921	644
749	1923	641
750	1925	638
751	1927	635
752	1929	632
753	1932	630
754	1934	627
755	1936	624
756	1937	622
757	1939	619
758	1940	616
759	1942	613
760	1944	610
761	1947	608
762	1948	605
763	1950	602
764	1952	599
765	1955	597
766	1957	594
767	1959	591
768	1962	589
769	1963	586
770	1965	583
771	1966	580
772	1968	578
773	1970	575
774	1972	572
775	1973	569
776	1975	566
777	1978	564
778	1979	561
779	1981	558
780	1982	556
781	1984	553
782	1986	550
783	1988	547
784	1989	544
785	1992	542
786	1994	539
787	1995	536
788	1997	534
789	1998	531
790	2000	528
791	2002	525
792	2004	523
793	2006	520
794	2008	517
795	2010	515
796	2012	512
797	2014	509
798	2015	507
799	2018	504
800	2019	501
801	2022	499
802	2024	496
803	2026	493
804	2027	491
805	2029	488
806	2030	485
807	2032	482
808	2033	480
809	2036	477
810	2038	475
811	2040	472
812	2041	469
813	2043	466
814	2044	464
815	2046	461
816	2047	458
817	2049	455
818	2052	453
819	2054	451
820	2056	448
821	2058	445
822	2059	443
823	2061	440
824	2062	437
825	2064	434
826	2067	432
827	2069	429
828	2071	427
829	2072	424
830	2074	421
831	2075	419
832	2077	416
833	2079	413
834	2080	411
835	2083	408
836	2085	406
837	2086	403
838	2088	400
839	2089	398
840	2091	395
841	2092	392
842	2094	390
843	2097	387
844	2100	385
845	2101	382
846	2103	379
847	2105	377
848	2106	374
849	2108	372
850	2110	369
851	2113	367
852	2115	364
853	2117	361
854	2118	359
855	2120	356
856	2123	354
857	2125	351
858	2128	349
859	2130	346
860	2131	344
861	2133	341
862	2135	338
863	2137	336
864	2138	333
865	2140	331
866	2142	328
867	2144	326
868	2146	323
869	2147	320
870	2149	318
871	2150	315
872	2152	313
873	2153	310
874	2155	307
875	2158	305
876	2160	303
877	2162	300
878	2163	297
879	2165	295
880	2166	292
881	2168	290
882	2170	287
883	2172	285
884	2174	282
885	2176	280
886	2178	277
887	2179	274
888	2180	272
889	2182	269
890	2184	267
891	2185	264
892	2189	262
893	2191	259
894	2192	257
895	2194	254
896	2195	252
897	2197	249
898	2199	247
899	2200	244
900	2203	242
901	2205	239
902	2207	237
903	2208	234
904	2210	232
905	2212	229
906	2215	227
907	2220	224
908	2222	222
909	2223	219
910	2225	217
911	2227	214
912	2228	212
913	2230	209
914	2233	207
915	2235	204
916	2236	202
917	2238	199
918	2239	197
919	2241	194
920	2242	192
921	2244	189
922	2245	187
923	2249	184
924	2250	182
925	2252	179
926	2253	177
927	2255	175
928	2257	172
929	2259	170
930	2260	167
931	2262	165
932	2264	162
933	2266	160
934	2268	157
935	2270	155
936	2273	152
937	2275	150
938	2276	147
939	2279	145
940	2280	143
941	2282	140
942	2284	138
943	2286	135
944	2288	133
945	2289	130
946	2291	128
947	2294	125
948	2296	123
949	2298	120
950	2300	118
951	2302	116
952	2306	113
953	2309	111
954	2311	108
955	2313	106
956	2314	104
957	2316	101
958	2318	99
959	2319	96
960	2321	94
961	2324	91
962	2326	89
963	2327	86
964	2329	84
965	2331	82
966	2332	79
967	2333	77
968	2335	74
969	2337	72
970	2339	69
971	2342	67
972	2344	65
973	2345	62
974	2347	60
975	2348	57
976	2350	55
977	2351	52
978	2355	50
979	2356	48
980	2358	45
981	2359	43
982	2361	40
983	2363	38
984	2364	36
985	2367	33
986	2371	31
987	2373	28
988	2375	26
989	2377	24
990	2378	21
991	2383	19
992	2385	16
993	2387	14
994	2389	12
995	2391	9
996	2392	7
997	2402	4
998	2407	2
999	2408	0
